stage,domain,reason,count
raw_metadata_records,Electronics,,1610012
broad_candidate_source_records,Electronics,,33113
raw_metadata_records,Home_and_Kitchen,,3735584
broad_candidate_source_records,Home_and_Kitchen,,4045
unique_candidate_parents,All,,37158
eligible_target_parents,All,,106
unresolved_ambiguous_parents,All,,0
exclusion_rule,All,global:accessory_primary_identity:extension cable,223
exclusion_rule,All,global:accessory_primary_identity:extension cord,966
exclusion_rule,All,global:accessory_primary_identity:face plate,2
exclusion_rule,All,global:accessory_primary_identity:faceplate,2
exclusion_rule,All,global:accessory_primary_identity:mounting bracket,31
exclusion_rule,All,global:accessory_primary_identity:mounting hardware,2
exclusion_rule,All,global:accessory_primary_identity:outlet cover,5
exclusion_rule,All,global:accessory_primary_identity:protective case,45
exclusion_rule,All,global:accessory_primary_identity:replacement remote,29
exclusion_rule,All,global:accessory_primary_identity:wall plate,21
exclusion_rule,All,global:explicit_non_smart:no app,17
exclusion_rule,All,global:explicit_non_smart:no wifi,27
exclusion_rule,All,global:explicit_non_smart:without wifi,6
exclusion_rule,All,smart_bulb:approved_identity_phrase_absent,1417
exclusion_rule,All,smart_bulb:conditional_without_specific_smart_control_evidence,9
exclusion_rule,All,smart_bulb:identity_not_in_title_or_categories,754
exclusion_rule,All,smart_bulb:smart_evidence_not_in_title_or_categories,111
exclusion_rule,All,smart_bulb:wrong_product:bulb camera,294
exclusion_rule,All,smart_bulb:wrong_product:bundle with,50
exclusion_rule,All,smart_bulb:wrong_product:camera,893
exclusion_rule,All,smart_bulb:wrong_product:cameras,660
exclusion_rule,All,smart_bulb:wrong_product:desk lamp,5
exclusion_rule,All,smart_bulb:wrong_product:echo,159
exclusion_rule,All,smart_bulb:wrong_product:echo dot,94
exclusion_rule,All,smart_bulb:wrong_product:echo show,20
exclusion_rule,All,smart_bulb:wrong_product:echo studio,8
exclusion_rule,All,smart_bulb:wrong_product:energy smart,15
exclusion_rule,All,smart_bulb:wrong_product:fairy light,5
exclusion_rule,All,smart_bulb:wrong_product:floor lamp,1
exclusion_rule,All,smart_bulb:wrong_product:light bulb camera,256
exclusion_rule,All,smart_bulb:wrong_product:light fixture,2
exclusion_rule,All,smart_bulb:wrong_product:photo studio,7
exclusion_rule,All,smart_bulb:wrong_product:projector,198
exclusion_rule,All,smart_bulb:wrong_product:projector lamp,16
exclusion_rule,All,smart_bulb:wrong_product:replacement lamp,13
exclusion_rule,All,smart_bulb:wrong_product:router,1
exclusion_rule,All,smart_bulb:wrong_product:security camera,506
exclusion_rule,All,smart_bulb:wrong_product:security light,14
exclusion_rule,All,smart_bulb:wrong_product:smart board,16
exclusion_rule,All,smart_bulb:wrong_product:smart speaker,33
exclusion_rule,All,smart_bulb:wrong_product:string light,5
exclusion_rule,All,smart_bulb:wrong_product:table lamp,10
exclusion_rule,All,smart_bulb:wrong_product:wi fi system,1
exclusion_rule,All,smart_plug:approved_identity_phrase_absent,33119
exclusion_rule,All,smart_plug:conditional_without_specific_smart_control_evidence,1744
exclusion_rule,All,smart_plug:identity_not_in_title_or_categories,25707
exclusion_rule,All,smart_plug:smart_evidence_not_in_title_or_categories,4538
exclusion_rule,All,smart_plug:wrong_product:2400 watt,1
exclusion_rule,All,smart_plug:wrong_product:ac adapter,456
exclusion_rule,All,smart_plug:wrong_product:ac adaptor,4
exclusion_rule,All,smart_plug:wrong_product:alarm system,23
exclusion_rule,All,smart_plug:wrong_product:android auto,727
exclusion_rule,All,smart_plug:wrong_product:atx,287
exclusion_rule,All,smart_plug:wrong_product:audio plug,17
exclusion_rule,All,smart_plug:wrong_product:banana plug,1
exclusion_rule,All,smart_plug:wrong_product:bundle with,345
exclusion_rule,All,smart_plug:wrong_product:camera,6597
exclusion_rule,All,smart_plug:wrong_product:cameras,2943
exclusion_rule,All,smart_plug:wrong_product:carplay,1080
exclusion_rule,All,smart_plug:wrong_product:charging adapter,43
exclusion_rule,All,smart_plug:wrong_product:charging adaptor,1
exclusion_rule,All,smart_plug:wrong_product:coaxial plug,1
exclusion_rule,All,smart_plug:wrong_product:desk with power outlet,9
exclusion_rule,All,smart_plug:wrong_product:drain plug,8
exclusion_rule,All,smart_plug:wrong_product:ear plug,8
exclusion_rule,All,smart_plug:wrong_product:echo,562
exclusion_rule,All,smart_plug:wrong_product:echo dot,338
exclusion_rule,All,smart_plug:wrong_product:echo show,75
exclusion_rule,All,smart_plug:wrong_product:echo studio,11
exclusion_rule,All,smart_plug:wrong_product:ethernet switch,28
exclusion_rule,All,smart_plug:wrong_product:fairy light,12
exclusion_rule,All,smart_plug:wrong_product:fire hd,45
exclusion_rule,All,smart_plug:wrong_product:fireplace switch,2
exclusion_rule,All,smart_plug:wrong_product:fitbit,55
exclusion_rule,All,smart_plug:wrong_product:headphone plug,5
exclusion_rule,All,smart_plug:wrong_product:humidifier,85
exclusion_rule,All,smart_plug:wrong_product:hydroponic,1
exclusion_rule,All,smart_plug:wrong_product:hydroponics,2
exclusion_rule,All,smart_plug:wrong_product:ip camera,474
exclusion_rule,All,smart_plug:wrong_product:jug cap,3
exclusion_rule,All,smart_plug:wrong_product:motherboard,465
exclusion_rule,All,smart_plug:wrong_product:motion sensor,117
exclusion_rule,All,smart_plug:wrong_product:mount bracket,57
exclusion_rule,All,smart_plug:wrong_product:multi sensor,1
exclusion_rule,All,smart_plug:wrong_product:network switch,28
exclusion_rule,All,smart_plug:wrong_product:outlet bracket,13
exclusion_rule,All,smart_plug:wrong_product:outlet holder,54
exclusion_rule,All,smart_plug:wrong_product:outlet saver,6
exclusion_rule,All,smart_plug:wrong_product:outlet wall mount,391
exclusion_rule,All,smart_plug:wrong_product:plug and play,1218
exclusion_rule,All,smart_plug:wrong_product:plug connector,31
exclusion_rule,All,smart_plug:wrong_product:plug on module,5
exclusion_rule,All,smart_plug:wrong_product:portal from facebook,1
exclusion_rule,All,smart_plug:wrong_product:power adapter,589
exclusion_rule,All,smart_plug:wrong_product:power adaptor,13
exclusion_rule,All,smart_plug:wrong_product:power saver,45
exclusion_rule,All,smart_plug:wrong_product:range extender,487
