sample_role,parent_asin,proposed_device_type,source_domains,main_category,title,categories_evidence,limited_metadata_evidence,original_exclusion_reason,exclusion_gate_categories,supporting_metadata_fields,matched_device_terms,matched_smart_terms,proposed_decision,confidence,audit_label,audit_notes,draft_version,sampling_rank
positive_control,B07MTKMD36,smart_bulb,Electronics,Health & Personal Care,Philips Hue White and Color Ambiance E12 Decorative Candle 6W Equivalent Dimmable LED Smart Bulb (Compatible with Amazon Alexa Apple HomeKit and Google Assistant) (Renewed),Electronics Portable Audio & Video MP3 & MP4 Player Accessories,,,,title,,,retain_baseline,baseline,correct_target,Positive control retained from frozen W3 v1.3.2.,w3-v1.4.0-draft,16d48ef7f65885d456abedc85575baf0eb3df22bddc0c2c11b65de6ea898f6bd
positive_control,B00JDT11CU,smart_bulb,Electronics,Home Audio & Theater,"Sengled Pulse LED Smart Bulb with JBL Bluetooth Speaker, App Controlled Up to 8 BR30 LED Light Bulbs with Starter Kit, E26 Base, Compatible with Amazon Alexa, Candy Apple Red, 2 Pack",Electronics Home Audio Wireless & Streaming Audio,,,,title,,,retain_baseline,baseline,correct_target,Positive control retained from frozen W3 v1.3.2.,w3-v1.4.0-draft,2b5de7f5be09b0357b2a6985a04a25e1a119782500ef8b21a44d875295edbd28
positive_control,B0B3S9W38J,smart_bulb,Home_and_Kitchen,Tools & Home Improvement,"KAUF A15 RGBWW Smart Bulb with ESPHome, Compatible with Tasmota, Made for Home Assistant",Home & Kitchen Home Décor Products,,,,title,,,retain_baseline,baseline,correct_target,Positive control retained from frozen W3 v1.3.2.,w3-v1.4.0-draft,468b366ba33bc36f5aeeca3272edb5723fab0f9c5c3c0ae347b47f059ebd83f7
positive_control,B07YPD1BHD,smart_bulb,Electronics,Amazon Devices,"Ring PAR38 Smart LED Bulb, White (Bridge required)",,,,,title,,,retain_baseline,baseline,correct_target,Positive control retained from frozen W3 v1.3.2.,w3-v1.4.0-draft,55a8c64c8acf6e6e1037c548893a6521122351c4aa2234505b2cd92305bab97d
positive_control,B07YP9Q65C,smart_bulb,Electronics,Amazon Devices,"Ring PAR38 Smart LED Bulb, Black (Bridge required)",,,,,title,,,retain_baseline,baseline,correct_target,Positive control retained from frozen W3 v1.3.2.,w3-v1.4.0-draft,bd41467e4abea57e60580088cd5e6a764542ea6b20cda4d2503e55d9a0b85e85
positive_control,B0B3SLPYQ7,smart_bulb,Home_and_Kitchen,Tools & Home Improvement,"KAUF A19 RGBWW Smart Bulb with ESPHome, Compatible with Tasmota, Made for Home Assistant (4)",Home & Kitchen Home Décor Products,,,,title,,,retain_baseline,baseline,correct_target,Positive control retained from frozen W3 v1.3.2.,w3-v1.4.0-draft,e037ac3ef8293adaaec8d277d4370d907650fc8e0b2e3c79046ae732753e716c
positive_control,B082JPGQ2S,smart_bulb,Electronics,Amazon Devices,"Ring PAR38 Smart LED Bulb, White (Starter Kit: 2-pack)",,,,,title,,,retain_baseline,baseline,correct_target,Positive control retained from frozen W3 v1.3.2.,w3-v1.4.0-draft,e27b6b220e60bddc553134c9e731709cbc3d2d6b463ca3195c29aa186680d993
positive_control,B082JSKFGX,smart_bulb,Electronics,Amazon Devices,"Ring PAR38 Smart LED Bulb, Black (Starter Kit: 2-pack)",,,,,title,,,retain_baseline,baseline,correct_target,Positive control retained from frozen W3 v1.3.2.,w3-v1.4.0-draft,f09fb6730f88ce79c4087b5a0931bbdfbedba21dc5c4fb0f4731b5c231db114e
recovery_candidate,B0BDPQZWGF,smart_bulb,Electronics,Amazon Devices,Echo Dot (5th Gen) with Clock | Glacier White with Philips Hue White Smart Bulb,,"features: This bundle includes Echo Dot (5th Gen) with Clock in Glacier White and Philips Hue White A19 Medium Lumen Smart Bulb, 1100 Lumens. The Echo Dot offers a built in Hub with Alexa. Ask Alexa to control Zigbee-compatible devices. No additional Philips Hue hub required. Two choices for easy smart lighting - Start setting the mood with Hue Smart bulbs and your Echo device, supporting up to 5 Hue Bluetooth & Zigbee smart b…",smart_bulb:wrong_product:echo|smart_bulb:wrong_product:echo dot,wrong_product,title|features,a19|bulb|bulbs,alexa|bluetooth|philips hue|smart_near_bulb|voice control|zigbee,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,0026cc14a3214c3e80a1020b5834bc8ebbf83ac9b5f868f91c3135beb2584c2a
recovery_candidate,B093PGZPWX,smart_bulb,Electronics,Camera & Photo,"Qilmy Home Security Camera, Full HD 1080P Wireless WiFi IP Camera, Home Surveillance CCTV Cameras with Motion Detection Alarm/Night Vision/Remote Viewing",Electronics Camera & Photo Video Surveillance Surveillance Cameras Dome Cameras,"categories: Electronics Camera & Photo Video Surveillance Surveillance Cameras Dome Cameras | features: … built in! And what makes it more amazing is, the built-in flood light support ‘Turn on automatically when someone pass by’ during the night! 【Easy Installation & Wi-Fi Setup】 It’s as easy as replacing a light bulb to install this camera to a E27 light socket, 2 minutes 2.4GHz Wi-Fi Setup! 【Motion Detection & Instant App Alarm】 Supports motion detection, the camera will send you an instant alarm when motion detected!… | description: 1080P Home Security Camera | details: Best Sellers Rank Dome Surveillance Cameras 1411 Brand Qilmy Compatible Devices Smartphone Connectivity Technology Wirel",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:camera|smart_bulb:wrong_product:cameras|smart_bulb:wrong_product:security camera|smart_plug:approved_identity_phrase_absent|smart_plug:identity_not_in_title_or_categories|smart_plug:wrong_product:camera|smart_plug:wrong_product:cameras|smart_plug:wrong_product:ip camera|smart_plug:wrong_product:security camera,approved_identity_phrase_absent|identity_not_in_title_or_categories|multi-type conflict|wrong_product,title|features,bulb|e27|light bulb,wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,00483e66348736909a93e1f5083cc55e3843ebea5f7e02d945acbc21f5c496a7
recovery_candidate,B09B92L927,smart_bulb,Home_and_Kitchen,Amazon Home,"LVSOMT Makeup Vanity Desk Set with Round Mirror and Dimmable LED Lights, Dressing Table w/Storage Cabinet, Drawers, Cushioned Stool, 3 Color Lighting Modes & Touch Screen (Marble White)",Home & Kitchen Furniture Bedroom Furniture Vanities & Vanity Benches,"categories: Home & Kitchen Furniture Bedroom Furniture Vanities & Vanity Benches | features: 🌹3 COLORS & ADJUSTABLE BRIGHTNESS: Built-in 3 color LED light bar, safer than ordinary bulb design. You can adjust the color and brightness according to different scenes and makeup needs. Warm, natural, and bright light, no flicker and dazzling, bring you a comfortable visual experience. Perfect vanity table for both home and studio makeup. 🌹INTELLIGENT TOUCH BUTTON: Different from the traditional external switch, th… | details: Best Sellers Rank Home & Kitchen 3360887 Vanities & Vanity Benches 2298 Color Marble White Date First Available April 6, 2021 Furniture Finish White Material Iron,Wood Size L",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories,approved_identity_phrase_absent|identity_not_in_title_or_categories,features,bulb,,exclude,low,insufficient_evidence,Bulb identity is not explicit in title/categories.,w3-v1.4.0-draft,00492e906a36bec380c4476ba60e1fa006979edcc4a9c7fc176f13ab8fb13313
recovery_candidate,B083XQHHZJ,smart_bulb,Electronics,Camera & Photo,"Taber 5MP POE Mini PTZ Dome Camera CCTV Cameras, 5X Electric Zoom in, auto Fucus, APP Supported, Night Version up to 65ft, Surveillance Cameras",Electronics Camera & Photo Video Surveillance Surveillance Cameras Dome Cameras,"categories: Electronics Camera & Photo Video Surveillance Surveillance Cameras Dome Cameras | features: Simple and easy wi-fi setup: Quick Wi-Fi setup(Does not support 5G wi-fi network)) via iOS or Android Smartphone using supplied APP:""P6SLite""; Remote access to the camera on Smartphone via your mobile network or WiFi High End configured cameras: WiFi module, Poe power supply,32G SDcard included. Two-Way Audio Communication and Saving in SD card, built in speakers and microphones, two-way communication Motion Alerts: … | description: …as amazing detail, and can recording and live streaming in Full 1080P High Definition 5. Two-Way Audio: Keep an eye on your family and talk with them. The Bul",smart_bulb:approved_identity_phrase_absent|smart_bulb:identity_not_in_title_or_categories|smart_bulb:wrong_product:camera|smart_bulb:wrong_product:cameras,approved_identity_phrase_absent|identity_not_in_title_or_categories|wrong_product,features|description,bulb|e27,wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,006835dd29a97ab1a681c19a02032d55c5b51cc4a3d79ded91bae4195377dd78
recovery_candidate,B07Z4GLKJC,smart_bulb,Electronics,Amazon Devices,Echo Dot with clock (Sandstone) bundle with LIFX Wi-Fi Smart Bulb,,"features: This bundle contains the Echo Dot with clock (Sandstone) and LIFX Wi-Fi Smart Bulb Connect your smart lights to Alexa for easy voice control. Set your lights to gradually brighten ahead of your alarm to mimic the sunrise. Just ask, “Alexa, wake me up at 7am with lights"" Our most popular smart speaker - Now available with an LED display that can show the time, outdoor temperature, or timers. Use your voice to turn on …",smart_bulb:wrong_product:bundle with|smart_bulb:wrong_product:echo|smart_bulb:wrong_product:echo dot,wrong_product,title|features,bulb,alexa|lifx|smart_near_bulb|voice control|wi fi|wifi,exclude,high,wrong_device_type,Primary title/category identifies a prohibited product or accessory.,w3-v1.4.0-draft,006a77e7bf40cff7a74896a82ebc39cf429fc3c7b6eccac4a8c5d9f0f835ee56
