parent_asin,device_type,n_reviews,has_reviews,earliest_review_utc,latest_review_utc
B00JDT11CU,smart_bulb,118,True,2014-05-30T23:58:35.000Z,2021-12-24T04:27:59.005Z
B07MTKMD36,smart_bulb,10,True,2019-02-23T19:29:01.525Z,2020-07-22T16:49:15.947Z
B07YP9Q65C,smart_bulb,22,True,2020-04-30T16:11:02.334Z,2022-09-29T06:23:28.283Z
B07YPD1BHD,smart_bulb,31,True,2020-05-01T15:09:05.455Z,2022-10-01T17:43:29.666Z
B082JPGQ2S,smart_bulb,9,True,2021-02-10T14:56:28.072Z,2023-02-04T15:25:58.174Z
B082JSKFGX,smart_bulb,4,True,2020-12-19T18:37:41.435Z,2023-02-12T18:08:59.191Z
B0B3S9W38J,smart_bulb,5,True,2022-12-02T02:09:28.364Z,2023-04-02T18:00:07.751Z
B0B3SLPYQ7,smart_bulb,4,True,2022-12-01T18:20:27.284Z,2023-06-01T18:25:34.379Z
B00EOEDJ9W,smart_plug,896,True,2013-12-03T16:11:02.000Z,2023-03-15T19:42:40.124Z
B00H3RL6JW,smart_plug,75,True,2014-03-19T10:35:37.000Z,2018-04-06T07:21:45.749Z
B00I1JAP7K,smart_plug,8,True,2014-11-19T14:23:15.000Z,2018-11-07T00:56:14.328Z
B00K4YEI28,smart_plug,176,True,2014-05-16T23:25:28.000Z,2023-01-17T17:52:01.913Z
B00M5FKN0U,smart_plug,273,True,2014-10-22T11:53:50.000Z,2023-03-25T20:34:14.655Z
B00MI2BYEY,smart_plug,1,True,2019-05-24T17:39:11.077Z,2019-05-24T17:39:11.077Z
B00N4OBJAO,smart_plug,57,True,2015-03-10T05:32:46.000Z,2020-06-10T22:11:01.916Z
B00PJ1Y6PU,smart_plug,5,True,2016-01-20T17:25:23.000Z,2017-01-09T03:08:36.000Z
B00ZUCZDPU,smart_plug,1,True,2016-02-15T00:42:25.000Z,2016-02-15T00:42:25.000Z
B015PBE5YK,smart_plug,1,True,2022-08-02T18:35:39.897Z,2022-08-02T18:35:39.897Z
B01N0X7UIX,smart_plug,41,True,2017-01-10T19:39:02.000Z,2020-11-18T16:26:58.845Z
B06WVNKBKN,smart_plug,3,True,2017-05-02T22:56:44.000Z,2018-05-09T11:15:43.330Z
B06Y22HM5S,smart_plug,51,True,2017-05-20T00:08:04.000Z,2019-11-29T17:55:22.329Z
B06ZXSTBHL,smart_plug,275,True,2017-06-05T17:22:09.000Z,2019-06-22T05:32:34.760Z
B0725Y79JP,smart_plug,21,True,2017-07-14T15:58:56.013Z,2021-07-27T18:02:47.573Z
B072J33MJH,smart_plug,42,True,2017-07-20T02:53:24.814Z,2019-03-10T04:54:51.939Z
B074CJYPZV,smart_plug,160,True,2017-10-21T21:45:40.330Z,2022-07-24T22:14:19.138Z
B074Z6HGXD,smart_plug,46,True,2017-10-12T15:05:39.236Z,2020-12-10T20:20:40.047Z
B07519PSGJ,smart_plug,16,True,2017-12-07T04:45:55.062Z,2019-05-28T20:58:14.124Z
B075L4X22X,smart_plug,42,True,2017-12-23T16:59:03.561Z,2019-06-18T05:14:07.449Z
B076B22JVD,smart_plug,10,True,2018-05-15T22:38:43.217Z,2023-01-13T00:54:31.995Z
B076CVX4DZ,smart_plug,156,True,2017-12-04T03:36:25.441Z,2022-12-09T17:19:49.294Z
B076HZG5HR,smart_plug,21,True,2018-12-05T03:27:48.442Z,2020-05-21T18:29:24.947Z
B076VRH9WP,smart_plug,862,True,2017-11-29T03:50:50.605Z,2023-04-11T23:15:04.515Z
B077FX2HY3,smart_plug,29,True,2018-03-07T05:30:29.105Z,2023-01-30T01:14:00.514Z
B0784FHFKX,smart_plug,12,True,2019-12-06T16:56:34.049Z,2022-11-03T00:21:07.244Z
B078HBKKKX,smart_plug,3,True,2020-01-01T15:07:23.995Z,2021-02-21T18:51:28.878Z
B079L1RSF7,smart_plug,819,True,2018-04-14T01:25:21.023Z,2023-04-18T06:35:56.068Z
B079L6FSHJ,smart_plug,10,True,2019-04-17T18:16:59.109Z,2021-12-07T09:25:42.987Z
B079LVG7BV,smart_plug,12,True,2019-03-26T21:47:56.514Z,2020-01-05T19:04:48.302Z
B07BRMH63V,smart_plug,2,True,2021-05-16T19:13:53.031Z,2021-07-09T07:03:34.897Z
B07C3DWK7J,smart_plug,1,True,2020-11-17T21:19:54.984Z,2020-11-17T21:19:54.984Z
B07CXV3JH8,smart_plug,120,True,2018-07-14T06:38:21.660Z,2023-01-06T23:48:43.724Z
B07D5LZ1LR,smart_plug,4,True,2019-03-15T19:34:35.669Z,2022-02-26T10:41:19.156Z
