device_type,year,reviews
smart_bulb,2014,9
smart_bulb,2015,10
smart_bulb,2016,5
smart_bulb,2017,5
smart_bulb,2018,7
smart_bulb,2019,50
smart_bulb,2020,50
smart_bulb,2021,34
smart_bulb,2022,22
smart_bulb,2023,11
smart_plug,2013,10
smart_plug,2014,331
smart_plug,2015,424
smart_plug,2016,470
smart_plug,2017,454
smart_plug,2018,2972
smart_plug,2019,17747
smart_plug,2020,20004
smart_plug,2021,7831
smart_plug,2022,3447
smart_plug,2023,917
smart_switch,2018,2
smart_switch,2019,24
smart_switch,2020,12
smart_switch,2021,5
smart_switch,2022,14
smart_switch,2023,3
