parent_asin,device_type,n_reviews,has_reviews,earliest_review_utc,latest_review_utc
B00IRQ6T22,smart_bulb,6,True,2014-07-28T14:58:30+00:00,2015-10-11T12:17:47+00:00
B00JCE14AU,smart_bulb,282,True,2014-06-01T14:21:29+00:00,2023-01-24T17:59:08.926000+00:00
B00JDT11CU,smart_bulb,118,True,2014-05-30T23:58:35+00:00,2021-12-24T04:27:59.005000+00:00
B00KLPFEXW,smart_bulb,18,True,2015-01-04T18:14:41+00:00,2018-02-17T18:18:03.368000+00:00
B00KLPFJR8,smart_bulb,1,True,2014-08-30T16:47:05+00:00,2014-08-30T16:47:05+00:00
B00PJH16UC,smart_bulb,370,True,2014-12-12T08:19:57+00:00,2022-01-25T21:40:39.505000+00:00
B00S036GN4,smart_bulb,2,True,2015-06-03T23:58:57+00:00,2015-06-06T16:35:06+00:00
B00S036GQQ,smart_bulb,2,True,2015-03-10T17:55:33+00:00,2015-03-19T18:28:52+00:00
B00S036GUC,smart_bulb,3,True,2015-06-19T20:48:26+00:00,2015-12-06T20:06:00+00:00
B00UMA45KY,smart_bulb,3,True,2016-08-06T07:40:01+00:00,2021-07-25T11:43:24.265000+00:00
B00V9091EG,smart_bulb,1,True,2015-04-16T01:01:16+00:00,2015-04-16T01:01:16+00:00
B00W6YEMMU,smart_bulb,1,True,2015-05-06T01:27:29+00:00,2015-05-06T01:27:29+00:00
B00YB5R56M,smart_bulb,29,True,2016-08-13T15:43:54+00:00,2020-01-04T09:28:25.681000+00:00
B00YRRVTPM,smart_bulb,8,True,2016-11-13T22:57:55+00:00,2018-09-17T20:38:34.486000+00:00
B01AKOY5FG,smart_bulb,2,True,2016-12-25T21:38:27+00:00,2017-01-17T16:11:56+00:00
B01M0PAZA7,smart_bulb,3,True,2016-12-26T22:08:30+00:00,2020-05-18T17:15:35.006000+00:00
B01MS9L9K2,smart_bulb,1,True,2017-12-25T17:54:34.581000+00:00,2017-12-25T17:54:34.581000+00:00
B07MTKMD36,smart_bulb,10,True,2019-02-23T19:29:01.525000+00:00,2020-07-22T16:49:15.947000+00:00
B07YP9Q65C,smart_bulb,22,True,2020-04-30T16:11:02.334000+00:00,2022-09-29T06:23:28.283000+00:00
B07YPD1BHD,smart_bulb,31,True,2020-05-01T15:09:05.455000+00:00,2022-10-01T17:43:29.666000+00:00
B082JPGQ2S,smart_bulb,9,True,2021-02-10T14:56:28.072000+00:00,2023-02-04T15:25:58.174000+00:00
B082JSKFGX,smart_bulb,4,True,2020-12-19T18:37:41.435000+00:00,2023-02-12T18:08:59.191000+00:00
B0B3S9W38J,smart_bulb,5,True,2022-12-02T02:09:28.364000+00:00,2023-04-02T18:00:07.751000+00:00
B0B3SLPYQ7,smart_bulb,4,True,2022-12-01T18:20:27.284000+00:00,2023-06-01T18:25:34.379000+00:00
B0BN7YPZKP,smart_bulb,272,True,2022-01-24T06:14:50.955000+00:00,2023-08-27T19:15:31.943000+00:00
B00EOEDJ9W,smart_plug,896,True,2013-12-03T16:11:02+00:00,2023-03-15T19:42:40.124000+00:00
B00H3RL6JW,smart_plug,75,True,2014-03-19T10:35:37+00:00,2018-04-06T07:21:45.749000+00:00
B00I1JAP7K,smart_plug,8,True,2014-11-19T14:23:15+00:00,2018-11-07T00:56:14.328000+00:00
B00K4YEI28,smart_plug,176,True,2014-05-16T23:25:28+00:00,2023-01-17T17:52:01.913000+00:00
B00M5FKN0U,smart_plug,273,True,2014-10-22T11:53:50+00:00,2023-03-25T20:34:14.655000+00:00
B00MI2BYEY,smart_plug,1,True,2019-05-24T17:39:11.077000+00:00,2019-05-24T17:39:11.077000+00:00
B00N4OBJAO,smart_plug,57,True,2015-03-10T05:32:46+00:00,2020-06-10T22:11:01.916000+00:00
B00PJ1Y6PU,smart_plug,5,True,2016-01-20T17:25:23+00:00,2017-01-09T03:08:36+00:00
B00ZUCZDPU,smart_plug,1,True,2016-02-15T00:42:25+00:00,2016-02-15T00:42:25+00:00
B015PBE5YK,smart_plug,1,True,2022-08-02T18:35:39.897000+00:00,2022-08-02T18:35:39.897000+00:00
B01N0X7UIX,smart_plug,41,True,2017-01-10T19:39:02+00:00,2020-11-18T16:26:58.845000+00:00
B06WVNKBKN,smart_plug,3,True,2017-05-02T22:56:44+00:00,2018-05-09T11:15:43.330000+00:00
B06Y22HM5S,smart_plug,51,True,2017-05-20T00:08:04+00:00,2019-11-29T17:55:22.329000+00:00
B06ZXSTBHL,smart_plug,275,True,2017-06-05T17:22:09+00:00,2019-06-22T05:32:34.760000+00:00
B0725Y79JP,smart_plug,21,True,2017-07-14T15:58:56.013000+00:00,2021-07-27T18:02:47.573000+00:00
B072J33MJH,smart_plug,42,True,2017-07-20T02:53:24.814000+00:00,2019-03-10T04:54:51.939000+00:00
B074CJYPZV,smart_plug,160,True,2017-10-21T21:45:40.330000+00:00,2022-07-24T22:14:19.138000+00:00
B074Z6HGXD,smart_plug,46,True,2017-10-12T15:05:39.236000+00:00,2020-12-10T20:20:40.047000+00:00
B07519PSGJ,smart_plug,16,True,2017-12-07T04:45:55.062000+00:00,2019-05-28T20:58:14.124000+00:00
B075L4X22X,smart_plug,42,True,2017-12-23T16:59:03.561000+00:00,2019-06-18T05:14:07.449000+00:00
B076B22JVD,smart_plug,10,True,2018-05-15T22:38:43.217000+00:00,2023-01-13T00:54:31.995000+00:00
B076CVX4DZ,smart_plug,156,True,2017-12-04T03:36:25.441000+00:00,2022-12-09T17:19:49.294000+00:00
B076HZG5HR,smart_plug,21,True,2018-12-05T03:27:48.442000+00:00,2020-05-21T18:29:24.947000+00:00
B076VRH9WP,smart_plug,862,True,2017-11-29T03:50:50.605000+00:00,2023-04-11T23:15:04.515000+00:00
B077FX2HY3,smart_plug,29,True,2018-03-07T05:30:29.105000+00:00,2023-01-30T01:14:00.514000+00:00
B0784FHFKX,smart_plug,12,True,2019-12-06T16:56:34.049000+00:00,2022-11-03T00:21:07.244000+00:00
B078HBKKKX,smart_plug,3,True,2020-01-01T15:07:23.995000+00:00,2021-02-21T18:51:28.878000+00:00
B079L1RSF7,smart_plug,819,True,2018-04-14T01:25:21.023000+00:00,2023-04-18T06:35:56.068000+00:00
B079L6FSHJ,smart_plug,10,True,2019-04-17T18:16:59.109000+00:00,2021-12-07T09:25:42.987000+00:00
B079LVG7BV,smart_plug,12,True,2019-03-26T21:47:56.514000+00:00,2020-01-05T19:04:48.302000+00:00
B07BRMH63V,smart_plug,2,True,2021-05-16T19:13:53.031000+00:00,2021-07-09T07:03:34.897000+00:00
B07C3DWK7J,smart_plug,1,True,2020-11-17T21:19:54.984000+00:00,2020-11-17T21:19:54.984000+00:00
B07CXV3JH8,smart_plug,120,True,2018-07-14T06:38:21.660000+00:00,2023-01-06T23:48:43.724000+00:00
B07D5LZ1LR,smart_plug,4,True,2019-03-15T19:34:35.669000+00:00,2022-02-26T10:41:19.156000+00:00
B07D7J7MKX,smart_plug,6,True,2018-06-25T18:09:01.239000+00:00,2021-01-16T22:19:31.687000+00:00
B07G2ZFB4S,smart_plug,65,True,2017-04-08T03:35:03+00:00,2023-01-04T03:55:20.202000+00:00
B07G95FFN3,smart_plug,1042,True,2018-09-25T19:09:17.680000+00:00,2023-08-24T14:52:13.859000+00:00
B07GP4NK4B,smart_plug,1,True,2018-10-11T04:03:35.034000+00:00,2018-10-11T04:03:35.034000+00:00
B07H4GW37H,smart_plug,5,True,2019-03-17T15:45:12.394000+00:00,2019-09-03T18:30:02.494000+00:00
B07H5V6XMX,smart_plug,92,True,2018-12-10T22:31:09.324000+00:00,2022-12-11T22:55:12.424000+00:00
B07JVGJL7P,smart_plug,28,True,2018-12-02T09:17:30.886000+00:00,2020-05-27T16:19:36.053000+00:00
B07JYYJYGS,smart_plug,146,True,2018-12-15T22:31:54.570000+00:00,2022-10-01T19:04:02.308000+00:00
B07KK62GB7,smart_plug,1140,True,2018-12-15T22:51:09.961000+00:00,2023-08-17T21:00:28.756000+00:00
B07KTYJ769,smart_plug,45101,True,2018-10-15T16:16:07.823000+00:00,2023-09-07T00:28:22.966000+00:00
B07L68NDHS,smart_plug,3,True,2019-06-15T19:34:26.240000+00:00,2019-08-14T22:02:20.975000+00:00
B07LB7J786,smart_plug,1,True,2021-01-06T18:35:51.112000+00:00,2021-01-06T18:35:51.112000+00:00
B07MMX1CXD,smart_plug,5,True,2019-03-09T23:50:02.895000+00:00,2019-10-13T15:03:10.502000+00:00
B07P15SJ84,smart_plug,64,True,2019-10-05T21:29:58.072000+00:00,2023-03-28T00:41:33.957000+00:00
B07PWCPG3G,smart_plug,25,True,2019-05-21T20:44:28.497000+00:00,2020-09-25T19:38:38.012000+00:00
B07Q3KQ67Y,smart_plug,1,True,2019-12-16T17:35:20.301000+00:00,2019-12-16T17:35:20.301000+00:00
B07QGTZQR7,smart_plug,29,True,2019-06-23T17:32:38.146000+00:00,2021-01-25T15:18:13.604000+00:00
B07QLR7Y7D,smart_plug,38,True,2019-05-31T00:42:10.085000+00:00,2023-01-06T13:46:10.879000+00:00
B07R8DZKSV,smart_plug,4,True,2019-06-22T19:46:51.717000+00:00,2020-02-10T12:17:10.319000+00:00
B07RL56DPD,smart_plug,155,True,2019-07-10T04:57:53.233000+00:00,2022-02-14T01:38:42.148000+00:00
B07RQNFL7R,smart_plug,59,True,2019-07-20T02:12:23.497000+00:00,2021-06-12T16:34:12.307000+00:00
B07VV2MGMC,smart_plug,464,True,2019-09-07T23:54:25.356000+00:00,2023-05-23T22:11:29.944000+00:00
B07XB5SNC1,smart_plug,3,True,2021-02-01T18:27:16.839000+00:00,2022-02-06T11:40:23.057000+00:00
B082XLQ5LD,smart_plug,3,True,2020-12-19T03:05:59.859000+00:00,2021-09-20T23:43:36.565000+00:00
B083JKSSR5,smart_plug,603,True,2020-02-02T14:58:01.815000+00:00,2023-08-10T21:05:26.082000+00:00
B083NFNN99,smart_plug,13,True,2020-04-15T23:01:02.707000+00:00,2022-04-05T07:20:32.976000+00:00
B083ZKWD1R,smart_plug,3,True,2021-04-18T22:38:43.607000+00:00,2022-06-09T22:32:08.598000+00:00
B086MN9RX5,smart_plug,1,True,2021-12-30T21:29:08.521000+00:00,2021-12-30T21:29:08.521000+00:00
B088WBG3JT,smart_plug,3,True,2020-09-17T12:34:57.826000+00:00,2021-01-30T19:26:19.858000+00:00
B08CXMSZGT,smart_plug,2,True,2020-10-21T14:07:46.892000+00:00,2020-11-21T05:19:14.783000+00:00
B08F8X62QG,smart_plug,14,True,2022-06-29T20:11:24.506000+00:00,2023-07-08T12:41:18.055000+00:00
B08FRDF58C,smart_plug,6,True,2020-10-21T16:49:12.647000+00:00,2020-12-15T15:27:07.597000+00:00
B08J9YDHQT,smart_plug,99,True,2020-10-31T02:33:01.424000+00:00,2022-11-07T20:25:55.786000+00:00
B08KDKN1QV,smart_plug,1,True,2021-03-12T16:50:00.265000+00:00,2021-03-12T16:50:00.265000+00:00
B08KSJ56WR,smart_plug,110,True,2021-04-10T01:09:20.106000+00:00,2023-05-06T23:52:28.540000+00:00
B08P36NQTW,smart_plug,2,True,2021-06-30T12:56:17.372000+00:00,2021-08-18T05:50:04.288000+00:00
B08Q33X824,smart_plug,8,True,2021-05-16T00:41:10.410000+00:00,2021-11-09T17:16:15.125000+00:00
B08QCMCTZ9,smart_plug,11,True,2021-03-23T21:08:15.435000+00:00,2022-01-27T23:12:11.653000+00:00
B08RBVV857,smart_plug,4,True,2021-03-23T04:05:51.982000+00:00,2021-07-19T05:40:18.708000+00:00
B08RML2BW4,smart_plug,1,True,2023-02-07T04:09:50.783000+00:00,2023-02-07T04:09:50.783000+00:00
B08TR1RVQP,smart_plug,18,True,2021-03-22T22:54:33.101000+00:00,2022-12-21T00:56:24.164000+00:00
B091Z5R792,smart_plug,25,True,2021-08-11T01:04:53.326000+00:00,2023-03-30T23:44:50.415000+00:00
B09KKX8MDY,smart_plug,1,True,2021-12-09T04:55:49.375000+00:00,2021-12-09T04:55:49.375000+00:00
B09P58VK93,smart_plug,157,True,2021-12-20T16:10:17.623000+00:00,2023-07-11T00:24:46.211000+00:00
B09PRHQN7M,smart_plug,36,True,2021-12-22T16:49:05.021000+00:00,2023-04-06T12:23:13.412000+00:00
B09QKMWR6K,smart_plug,9,True,2022-02-27T13:20:33.800000+00:00,2022-05-29T15:25:24.894000+00:00
B09QLT48DJ,smart_plug,21,True,2022-03-06T05:42:32.856000+00:00,2023-01-27T03:24:02.135000+00:00
B09TNV7Q69,smart_plug,103,True,2021-10-30T01:52:54.418000+00:00,2023-06-26T18:21:25.754000+00:00
B09Y8V9KQ5,smart_plug,3,True,2022-06-23T02:57:49.319000+00:00,2022-08-31T22:10:13.888000+00:00
B09YC9GTL9,smart_plug,1,True,2023-01-26T01:31:29.040000+00:00,2023-01-26T01:31:29.040000+00:00
B09ZJY5T9V,smart_plug,8,True,2021-11-29T01:04:47.245000+00:00,2022-10-12T03:16:02.862000+00:00
B0BJQ5VZLW,smart_plug,13,True,2020-03-01T23:33:35.672000+00:00,2023-03-26T20:56:32.470000+00:00
B0BM9WGQP2,smart_plug,21,True,2022-03-17T07:03:18.140000+00:00,2023-03-18T04:03:09.296000+00:00
B0BMV8MF5H,smart_plug,190,True,2022-05-03T16:54:21.327000+00:00,2023-06-08T06:52:05.659000+00:00
B0BP127NM4,smart_plug,4,True,2022-03-07T21:28:24.746000+00:00,2023-05-09T19:56:35.045000+00:00
B0BPWCWNTN,smart_plug,6,True,2022-11-08T13:26:54.367000+00:00,2023-04-24T01:39:49.852000+00:00
B0BRKJM5MD,smart_plug,122,True,2018-08-10T19:43:49.305000+00:00,2023-04-24T17:28:57.814000+00:00
B0BTHGCS1D,smart_plug,222,True,2019-12-01T20:23:14.210000+00:00,2023-05-15T11:32:13.326000+00:00
B0C276VVG5,smart_plug,23,True,2021-09-30T01:07:01.899000+00:00,2023-03-23T03:27:32.472000+00:00
B0C2VG36BT,smart_plug,10,True,2020-12-07T04:42:14.533000+00:00,2023-04-07T08:55:55.581000+00:00
B0CCHTF6Y2,smart_plug,2,True,2022-11-12T02:40:23.768000+00:00,2022-11-29T19:57:32.936000+00:00
B003I86OPG,smart_switch,1,True,2011-03-13T12:29:41+00:00,2011-03-13T12:29:41+00:00
B010UAB0V2,smart_switch,2,True,2018-10-11T13:39:41.814000+00:00,2022-01-12T12:29:48.728000+00:00
B07DFNM96Z,smart_switch,11,True,2018-08-16T22:52:14.755000+00:00,2022-11-05T12:32:15.959000+00:00
B07HHR1FZP,smart_switch,1,True,2019-04-02T14:10:24.125000+00:00,2019-04-02T14:10:24.125000+00:00
B08K46NTDD,smart_switch,48,True,2018-12-17T16:27:52.871000+00:00,2023-03-11T19:03:45.533000+00:00
