device_type,year,reviews
smart_bulb,2014,44
smart_bulb,2015,122
smart_bulb,2016,169
smart_bulb,2017,177
smart_bulb,2018,94
smart_bulb,2019,113
smart_bulb,2020,105
smart_bulb,2021,64
smart_bulb,2022,222
smart_bulb,2023,97
smart_plug,2013,10
smart_plug,2014,332
smart_plug,2015,423
smart_plug,2016,471
smart_plug,2017,454
smart_plug,2018,2991
smart_plug,2019,17807
smart_plug,2020,19957
smart_plug,2021,7813
smart_plug,2022,3437
smart_plug,2023,912
smart_switch,2011,1
smart_switch,2018,4
smart_switch,2019,23
smart_switch,2020,12
smart_switch,2021,5
smart_switch,2022,15
smart_switch,2023,3
