model,scope,true_label,predicted_label,count
rating,test,0,0,24
rating,test,0,1,2
rating,test,1,0,11
rating,test,1,1,23
keyword,test,0,0,21
keyword,test,0,1,5
keyword,test,1,0,10
keyword,test,1,1,24
dummy_most_frequent,validation,0,0,0
dummy_most_frequent,validation,0,1,34
dummy_most_frequent,validation,1,0,0
dummy_most_frequent,validation,1,1,25
dummy_most_frequent_test,test,0,0,0
dummy_most_frequent_test,test,0,1,26
dummy_most_frequent_test,test,1,0,0
dummy_most_frequent_test,test,1,1,34
tfidf_logistic_validation,validation,0,0,25
tfidf_logistic_validation,validation,0,1,9
tfidf_logistic_validation,validation,1,0,4
tfidf_logistic_validation,validation,1,1,21
tfidf_logistic_test,test,0,0,22
tfidf_logistic_test,test,0,1,4
tfidf_logistic_test,test,1,0,4
tfidf_logistic_test,test,1,1,30
