batch_id,device_type,sampling_bucket,sampled_reviews,unique_parent_asin,double_review_rows
batch_1,smart_bulb,diversity_control,18,11,5
batch_1,smart_bulb,high_uncertainty,24,18,4
batch_1,smart_bulb,rating_keyword_disagreement,18,4,3
batch_1,smart_plug,diversity_control,71,68,15
batch_1,smart_plug,high_uncertainty,92,76,18
batch_1,smart_plug,rating_keyword_disagreement,69,39,13
batch_1,smart_switch,diversity_control,3,1,2
batch_1,smart_switch,high_uncertainty,3,1,0
batch_1,smart_switch,rating_keyword_disagreement,2,1,0
batch_2,smart_bulb,diversity_control,18,8,5
batch_2,smart_bulb,high_uncertainty,29,13,4
batch_2,smart_bulb,rating_keyword_disagreement,13,2,3
batch_2,smart_plug,diversity_control,71,57,15
batch_2,smart_plug,high_uncertainty,92,68,18
batch_2,smart_plug,rating_keyword_disagreement,69,25,13
batch_2,smart_switch,diversity_control,3,1,2
batch_2,smart_switch,high_uncertainty,5,1,0
batch_3,smart_bulb,diversity_control,20,6,5
batch_3,smart_bulb,high_uncertainty,40,10,7
batch_3,smart_plug,diversity_control,71,48,15
batch_3,smart_plug,high_uncertainty,92,61,18
batch_3,smart_plug,rating_keyword_disagreement,69,15,13
batch_3,smart_switch,diversity_control,1,1,1
batch_3,smart_switch,high_uncertainty,7,1,1
batch_4,smart_bulb,diversity_control,21,5,5
batch_4,smart_bulb,high_uncertainty,39,8,7
batch_4,smart_plug,diversity_control,70,47,15
batch_4,smart_plug,high_uncertainty,92,58,18
batch_4,smart_plug,rating_keyword_disagreement,69,10,14
batch_4,smart_switch,high_uncertainty,9,1,1
