batch_id,device_type,rating_stratum,sampled_reviews,unique_parent_asin,double_review_rows
batch_1,smart_bulb,high_4_5,37,18,9
batch_1,smart_bulb,low_1_2,18,8,3
batch_1,smart_bulb,middle_3,5,4,0
batch_1,smart_plug,high_4_5,129,72,15
batch_1,smart_plug,low_1_2,90,52,26
batch_1,smart_plug,middle_3,13,12,5
batch_1,smart_switch,high_4_5,3,1,2
batch_1,smart_switch,low_1_2,3,1,0
batch_1,smart_switch,middle_3,2,1,0
batch_2,smart_bulb,high_4_5,42,13,9
batch_2,smart_bulb,low_1_2,17,5,3
batch_2,smart_bulb,middle_3,1,1,0
batch_2,smart_plug,high_4_5,129,66,33
batch_2,smart_plug,low_1_2,91,37,12
batch_2,smart_plug,middle_3,12,11,1
batch_2,smart_switch,high_4_5,8,1,2
batch_3,smart_bulb,high_4_5,50,10,10
batch_3,smart_bulb,low_1_2,6,4,2
batch_3,smart_bulb,middle_3,4,3,0
batch_3,smart_plug,high_4_5,131,58,27
batch_3,smart_plug,low_1_2,88,30,18
batch_3,smart_plug,middle_3,13,11,1
batch_3,smart_switch,high_4_5,5,1,1
batch_3,smart_switch,low_1_2,2,1,0
batch_3,smart_switch,middle_3,1,1,1
batch_4,smart_bulb,high_4_5,48,8,10
batch_4,smart_bulb,low_1_2,11,7,2
batch_4,smart_bulb,middle_3,1,1,0
batch_4,smart_plug,high_4_5,116,53,22
batch_4,smart_plug,low_1_2,102,37,25
batch_4,smart_plug,middle_3,13,12,0
batch_4,smart_switch,high_4_5,5,1,1
batch_4,smart_switch,low_1_2,3,1,0
batch_4,smart_switch,middle_3,1,1,0
