batch_id,device_type,time_stratum,sampled_reviews,unique_parent_asin,double_review_rows
batch_1,smart_bulb,early_2011_2017,22,9,2
batch_1,smart_bulb,middle_2018_2020,14,6,5
batch_1,smart_bulb,recent_2021_2023,24,9,5
batch_1,smart_plug,early_2011_2017,37,13,0
batch_1,smart_plug,middle_2018_2020,111,46,25
batch_1,smart_plug,recent_2021_2023,84,43,21
batch_1,smart_switch,middle_2018_2020,3,1,0
batch_1,smart_switch,recent_2021_2023,5,1,2
batch_2,smart_bulb,early_2011_2017,17,7,5
batch_2,smart_bulb,middle_2018_2020,15,6,1
batch_2,smart_bulb,recent_2021_2023,28,7,6
batch_2,smart_plug,early_2011_2017,35,12,7
batch_2,smart_plug,middle_2018_2020,120,44,30
batch_2,smart_plug,recent_2021_2023,77,33,9
batch_2,smart_switch,middle_2018_2020,7,1,2
batch_2,smart_switch,recent_2021_2023,1,1,0
batch_3,smart_bulb,early_2011_2017,20,6,6
batch_3,smart_bulb,middle_2018_2020,16,6,3
batch_3,smart_bulb,recent_2021_2023,24,5,3
batch_3,smart_plug,early_2011_2017,38,9,12
batch_3,smart_plug,middle_2018_2020,96,38,16
batch_3,smart_plug,recent_2021_2023,98,34,18
batch_3,smart_switch,middle_2018_2020,7,1,1
batch_3,smart_switch,recent_2021_2023,1,1,1
batch_4,smart_bulb,early_2011_2017,28,5,7
batch_4,smart_bulb,middle_2018_2020,16,6,2
batch_4,smart_bulb,recent_2021_2023,16,4,3
batch_4,smart_plug,early_2011_2017,43,9,7
batch_4,smart_plug,middle_2018_2020,119,38,13
batch_4,smart_plug,recent_2021_2023,69,27,27
batch_4,smart_switch,middle_2018_2020,7,1,1
batch_4,smart_switch,recent_2021_2023,2,1,0
